7/25/2023 9:16:05,1,Faculty,Combination of the two,2,9,Car (driving myself),I don't have either,1,I have one gas and one hybrid electric car.  I tend to take the gas and let spouse take the hybrid.  There are not enough charging stations at Smith and the ones we have are not convenient.,Yes,Yes!,"I attempt to bike once per week as weather cooperates.  
If Smith could negociate a deal with local auto retailers for electric cars that would be an amazing incentive.  And we need more charging stations!",
7/25/2023 9:29:32,2,Faculty,Combination of the two,2,1.5,Car (driving myself),I don't have either,,,Yes,Yes,"I ""mainly"" commuted by car, but walked or biked about 40% of the time during the past year. My household has one EV, but we use it for my wife's longer commutes. We hope to buy another EV when our current gas vehicle reaches the end of its lifespan",
7/25/2023 14:34:45,8,Faculty,Combination of the two,4,3,Car (driving myself),I don't have either,,,No,,,
7/25/2023 6:55:48,9,Faculty,Fully in-person,4,1.5,Car (driving myself),I don't have either,,,Yes,Yes,,
7/25/2023 8:36:02,11,Faculty,Fully in-person,4,8.7,Car (driving myself),I don't have either,2,I drove an EV from 2019-2021 and only recall the 2 charging spots next to Ford. ,Yes,No,"I am a 5C lecturer and also commute to the UMass campus every day. Even when I don't, I drop off and pick up my child at school in Hadley, adding to the commute.",
7/25/2023 8:38:39,12,Faculty,Fully in-person,4,10,Car (driving myself),I don't have either,,,Yes,Yes although cost is the number one factor,Approx 30mpg; commute in summer includes biking approx once per week,
7/25/2023 11:55:57,13,Faculty,Fully in-person,4,20,Car (driving myself),I don't have either,,,Yes,yes,,
7/25/2023 7:01:01,17,Faculty,Fully in-person,5,10,Car (driving myself),I don't have either,,,Yes,"Yes, and I’ve already ordered the car","1) I commuted some by bike before I was in an accident, and will do so again, but getting into and out of Smith is the most dangerous part of the commute. That intersection at West/Rte 9 is awful—the light timing is bonkers. 2) I drive a lot, but also my spouse bikes to work every day, because we live closer to his work (Umass)",
7/25/2023 8:36:18,18,Faculty,Fully in-person,5,5,Car (driving myself),I don't have either,,,Yes,"Yes, I would love if more stations were available for a future EV purchase.",,
7/27/2023 5:39:28,20,Faculty,Fully in-person,5,15,Car (driving myself),I don't have either,,,Sometimes,Yes,,
9/19/2023 11:04:08,22,Faculty,Fully in-person,5,8,Car (driving myself),I don't have either,,,Yes,Yes,,
9/19/2023 11:05:45,23,Faculty,Fully in-person,5,6,Car (driving myself),I don't have either,,,Yes,Yes,,
9/19/2023 11:06:19,24,Faculty,Fully in-person,5,9,Car (driving myself),I don't have either,,,Yes,No,,
9/19/2023 13:55:17,26,Faculty,Fully in-person,5,15,Car (driving myself),I don't have either,,,Sometimes,possibly?,,
7/21/2023 14:25:18,Staff,6,Fully in-person,5 days,32.6,Car (driving myself),I don't have either,,,Yes,yes!  especially if there were fast charging options,,January 2023
7/25/2023 6:47:41,Staff,8,Combination of the two,3 days,14,Car (driving myself),I don't have either,,,Sometimes,"No, cost of the vehicle",,
7/25/2023 6:54:50,Staff,9,Fully in-person,5 days,13,Car (driving myself),I don't have either,,,Yes,,,
7/25/2023 7:29:30,Staff,10,Fully in-person,5 days,60,Car (driving myself),I don't have either,,"I have asked HR to provide a list of car pool possibilities, but they never got back to me",Yes,yes--but right now I can't afford an EV or hybrid,"Again, it would be helpful if Smith helped commuters to find car pool buddies",
7/25/2023 7:36:19,Staff,11,Combination of the two,3 days,5,Car (driving myself),I don't have either,,,No,No,,
7/25/2023 7:36:56,Staff,12,Combination of the two,2 days,5,Car (driving myself),I don't have either,,,Yes,yes,,
,,,,,,,,,,,,,
7/25/2023 7:58:39,Staff,14,Fully in-person,5 days,10,Car (driving myself),I don't have either,,,Yes,No. ,,
7/25/2023 8:00:41,Staff,16,Combination of the two,2 days,1.4,Car (driving myself),I don't have either,,,No, No,EV cars also do damage to the environment. I hope Smith does not start shaming those of us who do not have EVs ,
7/25/2023 8:07:31,Staff,17,Combination of the two,4 days,28,Car (driving myself),I don't have either,,,Sometimes,yes,my mileage average - 32 mpg,March 2023
7/25/2023 8:12:04,Staff,18,Combination of the two,4 days,21.6,Car (driving myself),I don't have either,,,Yes,,,
7/25/2023 8:17:27,Staff,20,Fully in-person,5 days,48,Car (driving myself),I don't have either,,,No,Yes,My car gets 30 MPG during my commute,
7/25/2023 8:20:42,Staff,21,Combination of the two,3,6.25,Car (driving myself),I don't have either,,,Yes,Yes. In fact the lack of convenient charging and wild price changes of existing charging on campus has me considering a new ICE vehicle instead. Where my son works almost half of the parking spots have free electric charging. Really is encouraging EV adoption there.,,
7/25/2023 8:24:03,Staff,22,Combination of the two,5,20,Car (driving myself),I don't have either,,An EV would be an expensive upgrade to the car I have now especially considering the high automotive loan interest rates right now. Also I don’t have a level two charger at home and that would be an expensive install as on campus charging always look full and I don’t think I have the flexibility I’m my smith work schedule to switch my car spot into ev charge spot when one becomes available.  Smith could do more in these areas to support Ev adoption.,Yes,Yes and the flexibility in work schedule to shuffle car into and out of ev car charging spot.,"It’s very expensive to live near campus as home prices are a few hundred thousand dollars more than towns further away. Smith’s housing assistance second mortgage plan is not liberal enough and supports high earning faculty and staff at grade G and above. More resources could be shifted from this group of high paid faculty and administration employees to lower grade, H and below, to support these employees living closer to campus.  Initiatives like these should be part of the equity and inclusion racial justice action planning as well as carbon footprint initiatives. Thank you for your time.",
7/25/2023 8:25:15,Staff,23,Fully in-person,5,20.2,Car (driving myself),I don't have either,,,Yes,Only slightly.  The cost of EV or hybrids is currently exceeds my budget.,,
7/25/2023 8:26:35,Staff,24,Combination of the two,4,25,Car (driving myself),I don't have either,,,No,,,September 2022
7/25/2023 8:33:02,Staff,26,Fully in-person,5,8,Car (driving myself),I don't have either,,,No,no,my car's gas mileage is 32 mpg,June 2023
7/25/2023 8:35:20,Staff,27,Combination of the two,3,2.5,Car (driving myself),I don't have either,,,Sometimes,I think so,,
7/25/2023 8:36:02,Staff,29,Combination of the two,3,5,Car (driving myself),I don't have either,,,Sometimes,I think the availability of charging stations on campus is important for everyone,"I am involved in elder care and that affects my decision to drive to work, despite the very small distance. :(",
7/25/2023 8:37:19,Staff,30,Fully in-person,5,21,Car (driving myself),I don't have either,,,No,,,March 2023
7/25/2023 8:43:04,Staff,31,Combination of the two,4,8,Car (driving myself),I don't have either,,,Yes,no,,September 2022
7/25/2023 8:47:25,Staff,32,Combination of the two,4,50,Car (driving myself),I don't have either,,,No,No.,,
